item_id,user_id,output
31,1,4
31,2,4
31,3,4
31,4,4
31,5,4
31,6,4
31,7,4
31,8,4
31,9,4
31,10,4
31,11,4
31,12,4
31,13,4
31,14,4
32,1,1
32,2,1
32,3,2
32,4,2
32,5,2
32,6,2
32,7,2
32,8,2
32,9,3
32,10,3
32,11,3
32,12,3
32,13,4
32,14,4
33,1,2
33,2,2
33,3,2
33,4,3
33,5,3
33,6,3
33,7,3
33,8,3
33,9,4
33,10,4
33,11,4
33,12,4
33,13,4
33,14,4
34,1,1
34,2,1
34,3,1
34,4,2
34,5,2
34,6,2
34,7,2
34,8,2
34,9,2
34,10,2
34,11,2
34,12,2
34,13,3
34,14,3
35,1,0
35,2,0
35,3,1
35,4,1
35,5,2
35,6,2
35,7,2
35,8,2
35,9,2
35,10,2
35,11,2
35,12,2
35,13,3
35,14,4
36,1,0
36,2,0
36,3,0
36,4,0
36,5,0
36,6,0
36,7,0
36,8,1
36,9,1
36,10,1
36,11,1
36,12,1
36,13,1
36,14,1
37,1,0
37,2,0
37,3,0
37,4,1
37,5,1
37,6,2
37,7,2
37,8,2
37,9,2
37,10,2
37,11,2
37,12,3
37,13,3
37,14,3
38,1,0
38,2,0
38,3,1
38,4,1
38,5,1
38,6,1
38,7,1
38,8,2
38,9,2
38,10,2
38,11,3
38,12,3
38,13,4
38,14,4
39,1,0
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
39,7,1
39,8,1
39,9,1
39,10,1
39,11,1
39,12,2
39,13,2
39,14,3
40,1,1
40,2,1
40,3,2
40,4,2
40,5,3
40,6,3
40,7,3
40,8,4
40,9,4
40,10,4
40,11,4
40,12,4
40,13,4
40,14,4
